sub,state,postcode
aarons pass,NSW,2850
abba river,WA,6280
abbey,WA,6280
abbeyard,VIC,3737
abbeywood,QLD,4613
abbotsbury,NSW,2176
abbotsford,VIC,3067
abbotsford,QLD,4670
abbotsford,NSW,2046
abbotsham,TAS,7315
abeckett street,VIC,8006
abels bay,TAS,7112
abercorn,QLD,4627
abercrombie,NSW,2795
abercrombie river,NSW,2795
aberdare,NSW,2325
aberdeen,TAS,7310
aberdeen,NSW,2359
aberdeen,NSW,2336
aberfeldie,VIC,3040
aberfeldy,VIC,3825
aberfoyle,NSW,2350
aberfoyle park,SA,5159
aberglasslyn,NSW,2320
abergowrie,QLD,4850
abermain,NSW,2326
abernethy,NSW,2325
abingdon downs,QLD,4892
abington,NSW,2350
abington,QLD,4660
acacia creek,NSW,2476
acacia gardens,NSW,2763
acacia hills,TAS,7306
acacia ridge,QLD,4110
acheron,VIC,3714
acland,QLD,4401
acton,TAS,7320
acton,ACT,2601
acton park,WA,6280
acton park,TAS,7170
ada,VIC,3833
adaminaby,NSW,2629
adams estate,VIC,3984
adamstown,NSW,2289
adamstown heights,NSW,2289
adamsvale,WA,6375
adare,QLD,4343
adavale,QLD,4474
addington,VIC,3352
adelaide,SA,5001
adelaide,SA,5000
adelaide airport,SA,5950
adelaide bc,SA,5000
adelaide lead,VIC,3465
adelaide park,QLD,4703
adelaide river,NT,0846
adelong,NSW,2729
adjungbilly,NSW,2727
advancetown,QLD,4211
adventure bay,TAS,7150
aeroglen,QLD,4870
afterlee,NSW,2474
agery,SA,5558
agnes,VIC,3962
agnes banks,NSW,2753
agnes water,QLD,4677
aguilar,QLD,4514
ainslie,ACT,2602
airdmillan,QLD,4807
airds,NSW,2560
aire valley,VIC,3237
aireys inlet,VIC,3231
airlie beach,QLD,4802
airly,VIC,3851
airport,NSW,2020
airport,NSW,2020
airport west,VIC,3042
airville,QLD,4807
aitkenvale,QLD,4814
ajana,WA,6532
akaroa,TAS,7216
akolele,NSW,2546
alabama hill,QLD,4820
alawa,NT,0810
alawoona,SA,5311
albacutya,VIC,3424
albanvale,VIC,3021
albany,WA,6330
albany creek,QLD,4035
albany dc,WA,6331
albany po,WA,6332
albert,NSW,2873
albert park,VIC,3206
albert park,SA,5014
alberta,QLD,4702
alberton,QLD,4207
alberton,SA,5014
alberton,TAS,7263
alberton,VIC,3971
alberton west,VIC,3971
albion,VIC,3020
