v_code	v_name	v_addr	lat0	lng0
proxywin	 win entertainment centre wollongong  	corner harbour and crown streets   nsw	-34.426220	150.902150
level 2	@newtown rsl	petersham rsl club 52 enmore road newtown nsw	-33.898420	151.176480
med	1 two 3 mediterranean	shop 11 surf parade  broadbeach qld	-28.035530	153.432890
stk	1300smiles stadium townsville	golf links drive kirwan  townsville qld	-19.307480	146.713890
rus	170 russell	170 russell st  melbourne  vic	-37.811907	144.968272
mmr	2012 bmw magic millions race day	gold coast turf club racecourse drive bundall qld	-28.010860	153.407120
ahb	21 arms nightclub	21 armstrong street  north ballarat vic	-37.560550	143.856350
bbd	3 bears bar	cnr seymour blvd & caves road  dunsborough wa	-33.617590	115.107730
fhb	5th avenue beauty and day spa	suite 1 99 kedron brook rd wilston  qld	-27.432300	153.019850
aai	a & i hall	station street   bangalow nsw	-28.686150	153.524760
~wts~	a taste of south australia - wine tours	tours commence with a city hotel pick up  then transfer into the wine region.   sa	-34.973892	138.564177
mrs	aami park	melbourne & olympic parks olympic boulevard melbourne vic	-37.824580	144.988880
asa	aami stadium - adelaide	turner drive  west lakes sa	-34.879750	138.493580
x-asa	aami stadium - adelaide	turner drive  west lakes sa	-34.879750	138.493580
abs	abbotsford convent	1 st. heliers street  abbotsford  vic	-37.802170	145.003780
abp	abc perth studios	30 fielder st  east perth wa	-31.951680	115.873080
apm	abel point marina	(near the roundabout and red post box) shingley drive airlie beach qld	-20.263485	148.712454
aho	abercrombie house	311 ophir rd  bathurst nsw	-33.392609	149.518807
kqu	aboard the kimberley quest ii	pro-fisherman's boat ramp  quindalup wa	-33.613940	115.110719
awt	aboriginal walkabout tours	  blue mountains nsw	-33.650650	150.442830
acb	academy	bunda street  canberra city act	-35.279020	149.133250
adc	academy cinema	20 hindmarsh sq  adelaide sa	-34.923210	138.606350
aod	academy of design australia	220 ingles street  port melbourne vic	-37.828871	144.941085
vaccamelb	acca	111 sturt street southbank melbourne vic	-37.826700	144.966560
amc	ace cinemas midland	274 great eastern hwy  midland wa	-31.889818	116.008996
ace	ace cinemas subiaco	500 hay street  subiaco wa	-31.946960	115.822830
amt	ace motorcycle tours	free pick-up within 12kms of adelaide gpo  adelaide sa	-34.928730	138.599950
aps	acer arena	private suites corner edwin flack avenue and olympic boulevard sydney olympic park nsw	-33.847910	151.066720
rou	action paintball - rouse hill	290 -312 annangrove rd (cnr edwards rd) rouse hill nsw	-33.661080	150.923610
ser	action paintball - serpentine	128 punrak road  serpentine wa	-32.378840	115.921190
amg	activ8 health and sports centre	99 penola road  mount gambier sa	-37.817073	140.785448
afp	active flight paragliding bright	    bright vic	-36.730200	146.960900
spa	actt (the old performance space)	199 cleveland street  redfern nsw	-33.889410	151.203450
bonyathon 	adelaide	bonython park  adelaide sa	-34.915800	138.580650
agr	adelaide	goldrush ballooning  strathalbyn sa	-35.258880	138.890350
aaa	adelaide arena	44a crittenden rd  findon  sa	-34.900416	138.546052
coa	adelaide college of the arts	39 light square  adelaide  sa	-34.924360	138.592660
x-acc	adelaide convention centre	north terrace  adelaide sa	-34.921280	138.604160
acn	adelaide convention centre	 north terrace adelaide sa	-34.921280	138.604160
aec	adelaide entertainment centre	corner port road and adam street  hindmarsh sa	-34.909800	138.570810
aet	adelaide entertainment centre theatre	corner port road and adam street  hindmarsh sa	-34.909800	138.570810
ase	adelaide event & exhibition centre at the showground	goyder pavilion  wayville sa	-34.941810	138.592550
afc	adelaide festival centre	king william rd  adelaide sa	-34.916310	138.598940
x-afc	adelaide festival centre trust	king william rd  adelaide sa	-34.916310	138.598940
